firstName,lastName,address1,address2,pass1,creditCard
Jojo,Bean,Kabula,382643,Jojo Bean,1234567890123456
jojo1,jojo1,Frankfurt,123456,jojo1 jojo1,4587621438132156
jojo2,jojo2,London,456713,jojo2 jojo2,1248312479121537
jojo3,jojo3,Los Angeles,231445,jojo3 jojo3,1276321831654123
jojo4,jojo4,Paris,515561,jojo4 jojo4,9722156498151631
jojo5,jojo5,Portland,623143,jojo5 jojo5,2164651518451564
jojo6,jojo6,San Francisco,221456,jojo6 jojo6,2165321316845321
jojo7,jojo7,Seattle,831515,jojo7 jojo7,1321646518946518
jojo8,jojo8,Sydney,712321,jojo8 jojo8,4946532189465216
jojo9,jojo9,Zurich,465114,jojo9 jojo9,9153459746518485198464
